Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha)
1,1991,14,Chhattisgarh,Durg,680.8,773.6,1136.31,34.8,21.6,620.69,2.3,1.8,782.61,0,0,0,2.3,1.8,782.61,0,0,0,3.8,3.5,921.05,0,0,0,0,0,0,117.2,75.7,645.9,21.9,22.8,1041.1,269.9,134.8,499.44,2.6,2.7,1038.46,3.5,0.5,142.86,2.03,1.17,576.35,0.2,0.1,500,0.1,0,0,70,18.3,261.43,0.12,0.03,250,4.82,3.17,657.68,86.4,26,300.93,0.46,0.9,1956.52,0,0,0
1,1992,14,Chhattisgarh,Durg,688,777.3,1129.8,56.1,20.5,365.42,1.1,1,909.09,0,0,0,1.1,1,909.09,0,0,0,4.4,6,1363.64,0,0,0,0,0,0,112.6,63.4,563.06,22.8,23.6,1035.09,270,104.9,388.52,1.6,2.3,1437.5,2.4,0.4,166.67,3.16,1.9,601.27,0.4,0.1,250,0.1,0,0,73.4,16.6,226.16,0.09,0.02,222.22,9.52,6.72,705.88,90.8,28.2,310.57,0.35,0.6,1714.29,0.02,0,0
1,1993,14,Chhattisgarh,Durg,703.6,876.7,1246.02,33.8,23.8,704.14,0.2,0.2,1000,2.4,3.4,1416.67,2.6,3.6,1384.62,0.01,0.01,1000,3.8,4.2,1105.26,0,0,0,0,0,0,110.6,69.5,628.39,17.3,18.8,1086.71,303.4,130,428.48,2.5,2.6,1040,3.6,0.6,166.67,3.13,1.58,504.79,0.4,0.1,250,0,0,0,85.4,17.8,208.43,0.23,0.07,304.35,28.88,25.64,887.81,124.2,48.4,389.69,0.45,0.8,1777.78,0.03,0,0
1,1994,14,Chhattisgarh,Durg,726.8,967.9,1331.73,36.5,29.4,805.48,0.3,0.2,666.67,0,0,0,0.3,0.2,666.67,0,0,0,4.8,4.3,895.83,0,0,0,0,0,0,124.7,81.5,653.57,15.6,15.9,1019.23,315.7,127.2,402.91,1.2,1.2,1000,2.9,0.4,137.93,2.9,1.8,620.69,0.4,0.1,250,0,0,0,92.4,23,248.92,0.25,0.08,320,16.9,13.4,792.9,117,40,341.88,0.4,0.7,1750,0,0,0
1,1995,14,Chhattisgarh,Durg,723.3,1052,1454.44,37.1,26.5,714.29,0.1,0.1,1000,0,0,0,0.1,0.1,1000,0,0,0,4.2,5.6,1333.33,0,0,0,0.1,0.1,1000,124,61.3,494.35,15.1,12.9,854.3,318.6,80.9,253.92,0.9,1,1111.11,4.3,0.8,186.05,2.7,1.3,481.48,0.3,0.2,666.67,0,0,0,88.9,15.3,172.1,0.3,0.1,333.33,24.4,21.1,864.75,121.9,40,328.14,0.5,0.8,1600,0,0,0
1,1996,14,Chhattisgarh,Durg,710.9,917.2,1290.2,36.2,29.1,803.87,0.3,0.2,666.67,0,0,0,0.3,0.2,666.67,0.3,0.3,1000,3.2,4.1,1281.25,0,0,0,0,0,0,117.7,78.1,663.55,12.6,12.3,976.19,272.3,120.7,443.26,0.8,0.8,1000,4.5,0.7,155.56,2.4,1.2,500,0.4,0.2,500,0,0,0,82.5,22.6,273.94,0.3,0.1,333.33,45,31,688.89,136.3,57.6,422.6,0.6,1.1,1833.33,0,0,0
1,1997,14,Chhattisgarh,Durg,735.7,837.5,1138.37,35.6,18.3,514.04,1.21,0.1,82.64,0.02,0,0,1.24,0.1,80.65,0,0,0,3.5,3.2,914.29,0.26,0,0,0,0,0,111,48.8,439.64,12.1,7.2,595.04,282.39,11.3,40.02,1.4,1.4,1000,3,0.4,133.33,2.6,1,384.62,0.3,0.1,333.33,0,0,0,80.2,10.5,130.92,0.4,0.1,250,61.6,48.9,793.83,149.44,62.4,417.56,0.48,0.9,1875,0,0,0
1,1998,14,Chhattisgarh,Durg,786.51,684.62,870.45,39.96,24.84,621.62,0.27,0.27,1000,0,0,0,0.27,0.27,1000,0,0,0,5.61,5.68,1012.65,0,0,0,0,0,0,144.25,85.26,591.05,31.09,29.43,946.67,258.44,92.31,357.18,1.38,1.38,1000,4.64,0.81,175.37,4.33,2.05,473.57,0.4,0.1,250,0,0,0,83.45,16.78,201.06,0,0,0,56.07,26.09,465.2,151.86,47.57,313.25,1.17,2.27,1939.21,0,0,0
1,1999,14,Chhattisgarh,Durg,769.79,963.04,1251.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,4.98,1307.44,0.25,0.07,280,0,0,0,118.67,79.51,669.94,14.87,15.12,1017.27,224.35,96.35,429.46,1.38,1.38,1000,3.88,0.85,219.59,1.07,0.89,825.82,0.19,0.06,323.14,0.02,0,0,63.62,16.11,253.15,0.9,0.64,710.18,14.56,10.24,703.61,108.14,35.93,332.25,1.03,3.43,3340.34,0,0,0
1,2000,14,Chhattisgarh,Durg,748.76,467.89,624.89,29.9,17.59,588.19,0.42,0.23,558.46,0,0,0,0.42,0.23,558.46,0.03,0.02,631,3.94,3.12,792.52,0.23,0.07,304.35,0.01,0,0,98.52,49.93,506.84,16.24,5.61,345.8,26.83,7.55,281.31,1.29,1.15,894.94,3.31,0.51,155.67,2.59,0.65,251.37,0.03,0.02,738.01,0.03,0.01,369,43.8,9.05,206.51,0.38,0.26,684.21,10.36,5.7,549.69,61.92,17.34,280.03,0.93,0.17,178.83,0,0,0
1,2001,14,Chhattisgarh,Durg,756.26,978.69,1294.13,34.33,24.11,702.43,0.28,0.25,902.45,0,0,0,0.28,0.25,902.45,0.02,0,0,3.9,2.62,672.21,0.22,0.06,272.73,0.01,0.01,1000,117.53,86.49,735.92,14.56,5.58,383.23,30.18,9.08,300.83,1.2,1.71,1423.7,3.1,0.7,226.78,2.59,0.84,323.74,0.05,0.04,684.5,0.05,0.02,315.5,48.48,13.03,268.77,0.72,0.51,708.33,8.25,6.01,728.76,68.51,22.84,333.41,1.14,0.21,188.49,0.01,0,0
1,2002,14,Chhattisgarh,Durg,753.41,484.9,643.6,33.25,25.09,754.44,0.22,0.21,947.81,0,0,0,0.22,0.21,947.81,0.01,0,0,3.71,4.76,1284.3,0.23,0.05,217.39,0.01,0.01,1000,122.65,78.25,637.98,15.66,6.33,404.43,30.66,8.27,269.85,1.25,1.67,1338.07,3.91,1,255.53,2.8,0.85,302.88,0.13,0.04,311.46,0.01,0,0,39.54,11.09,280.51,0.76,0.53,696.21,12.88,6.91,536.3,61.3,22.07,359.97,1.42,0.29,206.84,0.02,0.01,500
1,2003,14,Chhattisgarh,Durg,766.58,1145.82,1494.73,37.99,29.58,778.78,0.17,0.15,872.07,0,0,0,0.17,0.15,872.07,0,0,0,3.4,3.35,983.49,0.24,0.08,333.33,0.03,0.02,666.67,138.93,136.35,981.46,12.66,7.39,583.78,32.12,10.22,318.35,0.96,1.33,1384.66,3.86,1.06,274.07,2.96,1.11,373.79,0.31,0.08,264.99,0.02,0,0,39.76,12.17,306.16,1.38,0.92,665.96,17.76,15.27,859.5,61.47,22.11,359.67,1.99,0.41,207.38,0.07,0.05,714.29
1,2004,14,Chhattisgarh,Durg,775.99,984.31,1268.46,36.43,23.19,636.48,0.16,0.11,678.48,0,0,0,0.16,0.11,678.48,0,0,0,3.26,3.87,1186.04,0.25,0.09,360,0.01,0.01,1000,163.22,81.77,501.01,12.55,6.26,498.67,33.57,9.43,280.83,0.7,1.08,1526.54,2.48,0.74,299.01,3.57,1.22,341.04,0.34,0.08,225.9,0.04,0.02,500,37.48,8.29,221.27,1.4,0.97,692.22,27.4,25.72,938.76,67.23,31.95,475.24,3.14,0.65,206.84,0.41,0.21,512.2
1,2005,14,Chhattisgarh,Durg,775.99,984.31,1268.46,36.43,23.19,636.48,0.18,0.11,604.58,0,0,0,0.18,0.11,604.58,0,0,0,3.26,3.87,1186.04,0.25,0.09,360,0.01,0.01,1000,163.22,81.77,501.01,12.55,6.26,498.67,250.12,74.99,299.83,0.7,1.08,1526.54,2.48,0.74,299.01,3.57,1.22,341.04,0.34,0.08,225.9,0.04,0.02,500,37.48,8.29,221.27,1.4,0.97,692.22,27.4,25.72,938.76,73.67,38.16,517.97,3.14,0.65,206.84,0,0,0
1,2006,14,Chhattisgarh,Durg,781.7,1177.1,1505.81,36.81,26.62,723.16,0.21,0.15,717.19,0,0,0,0.21,0.15,717.19,0,0,0,5.28,5.03,953.14,0.12,0.04,333.33,0,0,0,170.6,123.47,723.74,10.79,4.65,431.39,234.58,127.67,544.25,0.71,1.04,1465.31,3.6,1.04,290.09,4.29,1.26,294.49,0.29,0.08,264.68,0.04,0.01,250,36.57,9.28,253.83,1.99,1.25,628.38,40.33,35.86,889.29,88.02,49.86,566.49,6.83,0.72,105.93,0.19,0.05,263.16
1,2007,14,Chhattisgarh,Durg,799.89,1095.84,1369.98,37.32,34.38,921.03,0.17,0.03,177.1,0,0,0,0.18,0.17,920.85,0,0,0,3.3,3.82,1157.23,0.19,0.05,263.16,0.06,0.07,1166.67,143.2,130.29,909.8,10.07,4.96,493.05,225.92,404.31,1789.63,0.56,0.87,1551.07,2.18,0.65,297.9,3.25,1.22,375.35,0.22,0.05,227.27,0.1,0.04,356.05,27.24,8.44,309.82,0.92,0.74,797.55,61.86,71.13,1149.7,96.56,82.96,859.2,9.84,1.21,123.15,0.04,0.01,250
1,2008,14,Chhattisgarh,Durg,803.37,704.09,876.42,36.46,31.19,855.47,0.21,0.07,334.29,0,0,0,0.21,0.26,1244.99,0,0,0,3.4,3.35,984.92,0.2,0.06,300,0.06,0.06,1000,131.94,113.04,856.71,9.83,5.41,550.84,188.25,149.66,795.01,0.46,0.72,1567.28,1.76,0.44,253.22,3.63,1.23,340.02,0.23,0.06,260.87,0.01,0,0,18.05,4.59,254.22,0.31,0.22,690.96,70.14,66.01,941.19,94.77,73.18,772.2,7.54,0.84,111.7,0.01,0.01,1000
1,2009,14,Chhattisgarh,Durg,789.04,622.05,788.37,42.44,38.12,898.09,0.19,0.07,369.59,0,0,0,0.19,0.22,1180.57,0,0,0,3.25,3.4,1045.97,0.17,0.04,235.29,0.06,0.01,166.67,147.22,130.06,883.44,11.33,5.88,518.7,155.28,67.34,433.68,0.56,1.02,1814.16,1.83,0.74,404.09,3.7,1.58,428.18,0.32,0.07,218.75,0.02,0,0,15.71,4.24,269.77,0.45,0.3,654.12,72.21,64.92,898.97,94.84,72.74,767.05,7.13,1.65,231.58,0.01,0,0
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1695.77,46.12,45.87,994.69,0.23,0.32,1393.94,0.06,0,0,0.23,0.32,1393.94,1.67,2.41,1443.11,3.17,4.63,1457.32,0,0,0,0.09,0.07,777.78,184.26,174.84,948.89,13.02,5.24,402.03,180.24,91.25,506.28,0.51,0.96,1861.6,2.2,0.57,260.12,6.09,2.17,355.94,0.4,0.1,250,0,0,0,12.54,3.14,250.58,0.4,0.29,725,91.77,105.41,1148.66,114.35,112.83,986.66,4.42,1.13,256.96,0,0,0
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1756.23,44.98,50.19,1115.68,0.26,0.2,774.6,0,0,0,0.26,0.2,774.6,0,0,0,3.63,4.67,1285.56,0.16,0.04,250,0.15,0.17,1133.33,196.27,197.94,1008.49,12.4,5.46,440.09,72.71,32.84,451.66,0.54,0.84,1561.11,1.59,0.55,347.76,3.84,1.61,418.76,0.15,0.03,203.94,0,0,0,12.7,4.96,390.64,0.18,0.15,833.33,87.07,69.83,802.03,106.25,78.18,735.8,4.07,2.06,506.02,0.08,0.02,250
1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1900.97,43.87,47.69,1087.1,0.7,0.49,705.81,0,0,0,0.7,0.49,705.81,0,0,0,3.12,4.8,1538.56,0.18,0.05,277.78,0.19,0.11,578.95,208.6,235.92,1130.97,11.23,6.1,543.12,160.54,60.53,377.05,0.48,0.72,1502.72,1.72,0.47,272.66,3.77,1.64,434.56,0.36,0.09,252.03,0.05,0.02,400,11.38,4.76,418.13,0.19,0.14,736.84,85.05,101.62,1194.76,104.27,109.66,1051.69,4.97,1.26,252.98,0.13,0.02,153.85
1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1581.86,41.54,43.33,1043.06,0,0,0,0,0,0,0.27,0.17,636.36,0.08,0.07,909.09,3.64,6.34,1742.2,0.17,0.04,235.29,0.22,0.12,545.45,229.99,173.91,756.19,11.37,5.68,499.89,142.9,56.73,397,0.49,0.9,1817.44,1.44,0.37,258.89,3.57,1.68,469.08,0.23,0.05,217.39,0,0,0,9.62,3.38,351.35,0.24,0.11,458.33,92.28,92.65,1003.99,108.22,99.31,917.64,3.94,0.93,237.45,0.05,0.01,200
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1729.89,44.25,50.96,1151.49,0,0,0,0,0,0,0.22,0.18,809.24,0.06,0.04,750,4.02,5.84,1451.66,0.13,0.03,230.77,0.14,0.11,785.71,228.75,241.58,1056.09,14.6,9.18,628.58,144.21,97.92,679.02,0.43,0.7,1627.06,1.25,0.53,425.14,3.73,1.76,473.43,0.23,0.05,217.39,0.01,0,0,7.94,3.04,383.47,0.2,0.1,500,85.84,39.93,465.22,99.93,46.2,462.3,5.75,3.46,602.17,0.05,0.02,400
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1076.95,48.72,54.6,1120.74,0,0,0,0,0,0,0.18,0.19,1039.58,0,0,0,9.87,14.47,1467.17,0.06,0.01,166.67,0.04,0.03,750,220.27,166.24,754.73,24.71,11.01,445.48,121.23,47.02,387.89,0.44,0.75,1687.82,2.34,0.87,374.48,4.88,2.41,493.81,0.36,0.12,333.33,0.01,0,0,7.17,2.34,326.49,0.05,0.04,800,98.2,49.1,500.02,113.88,37.19,326.61,11.23,2.57,228.49,0.05,0.01,200
1,2016,14,Chhattisgarh,Durg,858.91,1791.66,2085.96,48.94,61.84,1263.55,0,0,0,0,0,0,0.08,0.13,1592.3,0,0,1000,7.95,16.12,2028.48,0.06,0.01,209.68,0.01,0.01,1333.33,227.24,264.01,1161.83,23.18,14.82,639.15,92.18,92.38,1002.1,0.35,0.7,2020.21,2.06,0.78,377.4,4.27,1.89,442.1,0.08,0.03,349.4,0,0,0,0,0,0,0.02,0,0,81.71,60.69,742.71,0,0,0,18.52,7.21,389.38,0.06,0.02,317.81
1,2017,14,Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0,0,0,0,0,0,0.11,0.14,1268.62,0.01,0,333.33,9.25,18.09,1956.03,0.01,0,285.71,0,0,1000,258.46,259.45,1003.82,26.24,10.69,407.16,109.08,46.03,421.98,0.45,0.77,1722.94,1.8,0.49,273.92,4.7,2,425.21,0.29,0.12,395.19,0,0,0,4.6,1.16,252.72,0.01,0,0,77.4,25.02,323.3,0,0,0,19.85,3.59,181.06,0.45,0.13,297.85